iata_code,name,latitude_deg,longitude_deg,type
QRW,Warri Airport,5.59821,5.8187,medium_airport
YOL,Yola Airport,9.257550239562988,12.430399894714355,medium_airport
ZAR,Zaria Airport,11.1302,7.68581,medium_airport
MFQ,Maradi Airport,13.5025,7.12675,medium_airport
NIM,Diori Hamani International Airport,13.4815,2.18361,large_airport
THZ,Tahoua Airport,14.8757,5.26536,medium_airport
AJY,Mano Dayak International Airport,16.966,8.00011,medium_airport
ZND,Zinder Airport,13.779000282287598,8.983759880065918,medium_airport
TBJ,Tabarka-Aïn Draham International Airport,36.98,8.87694,medium_airport
MIR,Monastir Habib Bourguiba International Airport,35.75809860229492,10.75469970703125,medium_airport
NBE,Enfidha - Hammamet International Airport,36.075833,10.438611,medium_airport
TUN,Tunis Carthage International Airport,36.851002,10.2272,large_airport
GAF,Gafsa Ksar International Airport,34.422000885009766,8.822500228881836,medium_airport
GAE,Gabès Matmata International Airport,33.733691,9.91941,medium_airport
DJE,Djerba Zarzis International Airport,33.873719,10.7773,large_airport
EBM,El Borma Airport,31.7043,9.25462,medium_airport
