iata_code,name,latitude_deg,longitude_deg,type,country,country_zh,iso,city,city_alt,kw
AGR,Agra Airport / Agra Air Force Station,27.157975,77.961025,medium_airport,India,印度,IN,Agra,,"Kheria Airport, Pandit Deen Dayal Upadhyay Airport, RAF Agra"
IXD,Prayagraj Airport,25.4401,81.733902,medium_airport,India,印度,IN,Allahabad,,"VIAL, Allahabad Bamrauli Airport, Bamrauli Air Force Station"
ATQ,Sri Guru Ram Das Ji International Airport,31.7096,74.797302,large_airport,India,印度,IN,Amritsar,,Amritsar Air Force Station
AIP,Adampur Airport,31.4338,75.758797,small_airport,India,印度,IN,Adampur,,Adampur Air Force Station
BKB,Nal Airport,28.070601,73.207199,medium_airport,India,印度,IN,Bikaner,,Nal Air Force Station
KUU,Kullu Manali Airport,31.876699,77.154404,medium_airport,India,印度,IN,Bhuntar,,
BUP,Bhatinda Air Force Station,30.2701,74.755798,medium_airport,India,印度,IN,,,
BEK,Bareilly Air Force Station,28.4221,79.450798,medium_airport,India,印度,IN,Bareilly,,Trishul Air Base
IXC,Shaheed Bhagat Singh International Airport,30.6735,76.788498,large_airport,India,印度,IN,Chandigarh,,Chandigarh Air Force Station
KNU,Kanpur Airport,26.404301,80.410103,medium_airport,India,印度,IN,Kanpur,,"VECX (IAF Stn), VICX, Ganesh Shankar Vidyarthi Airport, Chakeri Air Force Station"
DED,Dehradun Jolly Grant Airport,30.189243,78.176651,medium_airport,India,印度,IN,Dehradun,Dehradun (Jauligrant),"Jauligrant, Jolly Grant"
DEL,Indira Gandhi International Airport,28.55563,77.09519,large_airport,India,印度,IN,New Delhi,,Palam Air Force Station
HDO,Hindon Airport / Hindon Air Force Station,28.707701,77.358902,small_airport,India,印度,IN,Ghaziabad,,
DHM,Kangra Airport,32.164902,76.263018,medium_airport,India,印度,IN,Kangra,,"Dharamshala, Gaggal"
GWL,Gwalior Airport,26.29330062866211,78.22779846191406,medium_airport,India,印度,IN,Gwalior,,Maharajpur Air Force Station
HSS,Maharaja Agrasen International Airport,29.186065,75.74142,large_airport,India,印度,IN,Hisar,,Hisar
HWR,Halwara International Airport,30.748501,75.629799,large_airport,India,印度,IN,Halwara,,"Ludhiana International Airport, Halwara Air Force Station"
JDH,Jodhpur Airport,26.251100540161133,73.04889678955078,medium_airport,India,印度,IN,Jodhpur,,Jodhpur Air Force Station
JAI,Jaipur International Airport,26.8242,75.812202,large_airport,India,印度,IN,Jaipur,,
JSA,Jaisalmer Airport,26.8887,70.864998,medium_airport,India,印度,IN,,,Jaisalmer Air Force Station
IXJ,Jammu Airport,32.688849,74.838152,medium_airport,India,印度,IN,Jammu,,Satwari Airport
KQH,Kishangarh Airport Ajmer,26.591007,74.812956,medium_airport,India,印度,IN,Ajmer,Ajmer (Kishangarh),
KTU,Kota Airport,25.160200119,75.84559631350001,medium_airport,India,印度,IN,Kota,,
LUH,Ludhiana Airport,30.854700088500977,75.95259857177734,medium_airport,India,印度,IN,,,
IXL,Leh Kushok Bakula Rimpochee Airport,34.135899,77.546501,medium_airport,India,印度,IN,Leh,,Leh Air Force Station
LKO,Chaudhary Charan Singh International Airport,26.760599,80.889297,large_airport,India,印度,IN,Lucknow,,Amausi International Airport
MZS,Moradabad Airport,28.81746,78.92187,medium_airport,India,印度,IN,Moradabad,,
